Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,1D Return,Return on Equity,PB Ratio,% Away From 52W High,5Y CAGR,5Y Avg EBITDA Margin,EBITDA Margin,ROCE,Return on Assets,Return on Investment,1Y Forward Revenue Growth,1Y Forward EBITDA Growth,1Y Fwd Op. Cash Flow Growth,1Y Forward EPS Growth,Forward PE Ratio,Sector PE,Sector PB,Mutual Fund Holding,Domestic Institutional Holding,FII Holding Change – 6M,DII Holding Change – 6M,Current Ratio,Debt to Equity,Days of Inventory Outstanding,Days of Sales Outstanding,Days Payable Outstanding,Price Momentum Rank,Fundamental Score,Value Momentum Rank,Earnings Quality Rank,Price to Intrinsic Value Rank,Percentage Upside,Percentage Buy Reco’s,No. of analysts with buy reco,Percentage Sell Reco's,Percentage Hold Reco's,Total no. of analysts,Alpha,Sharpe Ratio
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1890080.45279078,1396.7,27.137612749695325,1.1734878667149617,7.197219819635489,1.872060003199977,15.400587098159946,10.395421015033769,18.757962179535873,18.66565717315358,8.709096937384023,3.7599186560212656,6.786209507789,2.963809861082702,12.98,-0.4438648845198969,16.18921352815586,23.356187290969903,19.138096120226727,1.6093430611789339,9.5238871149769,20.183442518295173,-0.12111346703316173,0.38162456476598905,1.1003510844387827,0.3707442161750985,81.56431900166906,13.69653983886774,99.66976800531232,67,7.71428571428571,66,35,36.89,21.715472184434734,97.14285714285714,34,2.857142857142857,0,35,-1.77189560678023,0.006801512574705
HDFC Bank Ltd,HDFCBANK,Private Banks,1435126.43876307,932.7,20.27236651982483,0.68005181347151,14.047097534079553,2.6667855163362097,9.413530610056808,6.345168909939036,26.32909241965076,21.245252841627174,5.697874126055962,1.6783743465550298,,-59.1472814504279,,,4.472300046403347,19.230927835051546,18.002049382479555,2.4491896690739785,26.658758609461437,37.190623151093014,-1.1653977668155378,1.234327265093576,,0,,,,54,5.66612903225806,56,22,42.11,24.370108287766694,92.3076923076923,36,0,7.6923076923076925,39,-4.99260112526094,-0.050521486002833
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,1176705.48412958,1957.7,35.066813012524676,-0.7955812303638413,25.908885247977484,7.667447183541422,11.074219747663072,28.425925098025438,48.34597078324239,54.387853895278795,18.53321966334665,7.086636705462913,15.066337101325006,7.637434884914904,15.784999999999998,12.106486586512744,-18.94029464562335,40.8705636743215,106.3039314841323,8.629966418625143,11.360301758656806,19.656132657258325,2.0334896582213062,0.4439086564378556,0.3745772837760101,1.39209814182398,9.587012669152834,11.438393901637253,1228.890225365357,73,7.06666666666667,55,56,31.56,19.272615824692238,93.75,30,3.125,3.125,32,22.8665696222587,0.183216657476776
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1157824.1866351801,3200.1,23.846604465948143,1.333122229259022,51.90336201827997,12.08950712256508,29.683447392269002,0.02220158631836,28.13207932014321,27.525203828976498,62.59181432682114,31.930054156076036,46.926200279566004,2.0094027444597766,10.184,20.98290405521223,7.595035803085863,22.16329432669254,28.608414612487323,7.51801412353116,5.524881584691396,12.873582125439345,-1.0989243019190003,0.8672448868054179,2.320918473236354,0.09806726462081423,182.5,79.27037132741451,93991.22448979592,64,5.65,55,99,18.93,12.49648448485985,71.11111111111111,32,6.666666666666667,22.22222222222222,45,-9.60240939025088,-0.085153137411196
State Bank of India,SBIN,Public Banks,981676.1802711,1063.5,12.656773423961416,0.9827659877510239,16.57966960572751,1.9436722898727816,0.19746121297601338,30.373684832060512,14.388066361391349,16.636448528644248,5.628392739088888,1.1019872804915656,,-63.05654125950947,,-99.16791594841634,-6.813650433619078,13.131957714972678,18.002049382479555,2.4491896690739785,13.757522683150194,27.17311468418772,1.011496890995959,1.5017247853365205,,0,,,,93,5.48870967741936,92,26,7.94,3.4320639398213446,82.05128205128206,32,0,17.94871794871795,39,14.4691480796619,0.109267048581726
ICICI Bank Ltd,ICICIBANK,Private Banks,978243.3002903401,1367.7,19.170272779032313,0.46275892463640034,17.044528468970086,2.9757115491109505,9.673173941653879,20.956794292234026,23.449628495067575,25.622606542659586,7.236261478503682,2.0339791340122337,,-59.489087764009085,,-98.90421437273162,-3.5068279415296897,19.644562261068003,18.002049382479555,2.4491896690739785,32.08454129132798,46.73419503917347,-2.8947366434451,2.829383815700929,,0,,,,57,5.50322580645161,57,52,44.18,25.31988009066315,95.1219512195122,39,0,4.878048780487805,41,6.06465013645732,0.066125692502916
Infosys Ltd,INFY,IT Services & Consulting,674214.30132705,1666.5,25.239183218921497,-0.962738456052775,28.931464714291902,7.008246118385601,15.451545154515456,5.481747371440848,26.712830580255172,25.7134281769614,36.23231216351422,18.73577528011082,25.97816719333525,6.775405669608026,5.587000000000001,8.50533261720247,9.773503152098224,23.53813559322034,28.608414612487323,7.51801412353116,22.12098432047973,41.269679385313715,1.746746380717692,5.896583380599601,2.266021003500583,0.08551708366682952,0,67.21026172039137,7357.545045045045,77,5.68461538461538,64,93,14.47,9.210921092109212,75,33,2.272727272727273,22.727272727272727,44,-5.56561885258106,-0.042324478297268
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,581321.55111577,935.15,34.939766815350225,2.2357056958565575,18.946202587861993,5.8756804576712485,17.89552478212051,14.219912502092225,32.5721620621312,32.9219491274987,5.176040606719014,3.9525937811305294,3.615459103734549,-22.410681909002797,,,22.01967845457312,28.54626653357388,18.002049382479555,2.4491896690739785,9.091328769987504,14.942692741781096,-0.21822066556672226,0.3486709971898918,0.47731264485277897,3.651303876642979,,9.54229689491027,,77,,55,8,30.69,18.697535154788007,66.66666666666667,20,10,23.333333333333332,30,6.96701079423113,0.047603504256434
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,558826.7857540799,2378.4,52.47692607325382,-0.9371485692865176,21.08044975849236,11.264625083232476,13.736172598030683,1.001109626009633,24.58506937070205,24.96987858753746,23.386918485298295,13.44978276245327,21.546325379948104,0.7212312706602001,5.745,-17.062512121016226,0.5995514049878897,53.030100334448164,34.20108944260628,8.380592278760377,6.275934771500695,15.752715801511183,0.5266750519605896,-0.3137355896414604,1.3334341174336337,0.03321977866919309,55.444618486910805,19.2146807130279,141.41433509776385,57,6.45555555555556,35,83,28.29,17.726202489068278,78.37837837837837,29,2.7027027027027026,18.91891891891892,37,-6.61903040821921,-0.089653465105029
Larsen and Toubro Ltd,LT,Construction & Engineering,521907.0141026,3794,34.70793351266303,0.16368340461481118,13.798467139801561,4.52244689339716,10.569319978914082,23.041724304894572,16.732282116870756,14.452489023237638,18.913270106516645,4.18443474292079,10.07288975621094,,19.691,-2.6736697346148333,,28.895658796648892,39.56213827641692,5.8163924600438675,20.1540673938653,42.53774059457843,0.7386652174812625,-0.4609342114645969,1.2139583969769905,1.1473543997903703,27.41920037864539,71.84402107599831,202.4440466170343,71,4.17301587301587,62,35,33.51,19.8603057459146,90,27,3.3333333333333335,6.666666666666667,30,9.78793389699443,0.080411908101719
